codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
F2b1,F2b,floresta,1,B,8,31,1.465,93.3,22,0.6715086,2427300,0,0,0,534600,302400,0,0,131400,0,0,5400,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0,0,900,4348800,1694700,0,0,1093500,51300,5400,0,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,59400,92700,0,12392100,5157900,25200,0,3381300,333900,17100,0,0.269358196,76500,47,7210800,1800,6461100
F2b2,F2b,floresta,2,B,5,5,1.609,93.3,22,0.6715086,2427300,0,0,0,534600,302400,0,0,131400,0,0,5400,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0,0,900,4348800,1694700,0,0,1093500,51300,5400,0,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,59400,92700,0,12392100,5157900,25200,0,3381300,333900,17100,0,0.269358196,76500,47,7210800,1800,6461100
F2b3,F2b,floresta,3,B,6,7,1.748,93.3,22,0.6715086,2427300,0,0,0,534600,302400,0,0,131400,0,0,5400,0.713680868,10560,2,2425500,1800,2120400,0.64777843,6358500,0,0,900,4348800,1694700,0,0,1093500,51300,5400,0,0.466583014,40740,15,6062400,900,5285700,0.697057635,8268300,59400,92700,0,12392100,5157900,25200,0,3381300,333900,17100,0,0.269358196,76500,47,7210800,1800,6461100
F2c1,F2c,floresta,1,C,5,7,1.55,97.2,19.4,0.8056990231945201,1865700,0,0,0,468900,381600,0,0,6300,671400,0,0,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0,0,0,4261500,1740600,0,0,140400,1814400,14400,0,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0,0,0,11647800,4608900,0,0,827100,4293900,20700,0,0.2877569,119040,53,7707600,900,5852700
F2c2,F2c,floresta,2,C,5,7,1.55,97.2,19.4,0.8056990231945201,1865700,0,0,0,468900,381600,0,0,6300,671400,0,0,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0,0,0,4261500,1740600,0,0,140400,1814400,14400,0,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0,0,0,11647800,4608900,0,0,827100,4293900,20700,0,0.2877569,119040,53,7707600,900,5852700
F2c3,F2c,floresta,3,C,14,14,2.639,97.2,19.4,0.8056990231945201,1865700,0,0,0,468900,381600,0,0,6300,671400,0,0,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0,0,0,4261500,1740600,0,0,140400,1814400,14400,0,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0,0,0,11647800,4608900,0,0,827100,4293900,20700,0,0.2877569,119040,53,7707600,900,5852700
F2c4,F2c,floresta,4,C,5,5,1.609,97.2,19.4,0.8056990231945201,1865700,0,0,0,468900,381600,0,0,6300,671400,0,0,0.549721559,24780,7,1685700,3600,1219500,0.748531691,5640300,0,0,0,4261500,1740600,0,0,140400,1814400,14400,0,0.41407334,67620,23,5051700,1800,3881700,0.724057813,8820900,0,0,0,11647800,4608900,0,0,827100,4293900,20700,0,0.2877569,119040,53,7707600,900,5852700
F3b1,F3b,floresta,1,B,4,5,1.332,94.7,20.6,0.55540266,2737800,0,8100,0,509400,87300,0,0,43200,0,0,0,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0,99900,0,3872700,531900,0,0,1118700,17100,900,0,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0,62100,596700,9976500,1797300,0,0,1943100,94500,28800,0,0.525002948,129480,35,13354200,900,12551400
F3b2,F3b,floresta,2,B,7,9,1.889,94.7,20.6,0.55540266,2737800,0,8100,0,509400,87300,0,0,43200,0,0,0,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0,99900,0,3872700,531900,0,0,1118700,17100,900,0,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0,62100,596700,9976500,1797300,0,0,1943100,94500,28800,0,0.525002948,129480,35,13354200,900,12551400
F3b3,F3b,floresta,3,B,2,2,0.6931,94.7,20.6,0.55540266,2737800,0,8100,0,509400,87300,0,0,43200,0,0,0,0.80861244,10920,2,2734200,3600,2417400,0.645604382,7928100,0,99900,0,3872700,531900,0,0,1118700,17100,900,0,0.584267427,46620,14,7634700,7200,6696000,0.65074454,16025400,0,62100,596700,9976500,1797300,0,0,1943100,94500,28800,0,0.525002948,129480,35,13354200,900,12551400
