codigo,area,CLASSE,REP,COL,S,N,H,UR,T,D_EV1,F1_LC,Fsa1_LC (4),FCa1_LC (12),S1_LC (9),P1_LC (15),MU1_LC (21),NVeg1_LC (25),So1_LC (39),LT1_LC (41),C1_LC (46),Cit1_LC (47),LP1_LC (48),F1_LP,F1_EL,F1_NP,F1_GP,F1_SP,F1_OC,D_EV2,F2_LC,Fsa2_LC (4),FCa2_LC (12),S2_LC (9),P2_LC (15),MU2_LC (21),NVeg2_LC (25),So2_LC (39),LT2_LC (41),C2_LC (46),LP2_LC (48),Cit2_LC (47),F2_LP,F2_EL,F2_NP,F2_GP,F2_SP,F2_OC,D_EV3,F3_LC__m,Fsa3_LC (4),S3_LC (9),FCa3_LC (12),P3_LC (15),MU3_LC (21),NVeg3_LC (25),So3_LC (39),LT3_LC (41),C3_LC (46),LP3_LC (48),Cit3_LC (47),F3_LP,F3_EL,F3_NP,F3_GP,F3_SP,F3_OC
C2a3,C2a,café,3,A,3,3,1.099,85.7,21.8,0.7116814038339198,590400,0,0,39600,321300,272700,0,36000,117900,2003400,0,0,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,7200,4500,944100,1671300,2180700,0,696600,661500,4563000,0,0,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,65700,1778400,36900,4073400,5289300,0,2321100,1180800,9216900,4500,0,0.213851331,150780,61,1707300,900,2944800
C2a4,C2a,café,4,A,0,0,0,85.7,21.8,0.7116814038339198,590400,0,0,39600,321300,272700,0,36000,117900,2003400,0,0,0.1746074,14880,6,380700,10800,227700,0.8403033724312361,2811600,7200,4500,944100,1671300,2180700,0,696600,661500,4563000,0,0,0.207643735,64980,31,824400,900,1287900,0.8179739137595916,6519600,65700,1778400,36900,4073400,5289300,0,2321100,1180800,9216900,4500,0,0.213851331,150780,61,1707300,900,2944800
C2c1,C2c,café,1,C,9,12,2.138,81.2,22.6,0.5174532792350417,134100,0,0,0,34200,159300,9000,900,207000,2833200,0,207000,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,1656900,126000,4500,20700,1061100,2581200,19800,615600,1017900,6127200,0,0,0,122480208,49560,34,225000,900,496800,0.686169511352892,3591000,287100,53100,10800,2770200,6651000,57600,875700,1912500,11449800,0,5400,0,117838157,111180,86,288900,900,1034100
C2c2,C2c,café,2,C,9,10,2.164,81.2,22.6,0.5174532792350417,134100,0,0,0,34200,159300,9000,900,207000,2833200,0,207000,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,1656900,126000,4500,20700,1061100,2581200,19800,615600,1017900,6127200,0,0,0,122480208,49560,34,225000,900,496800,0.686169511352892,3591000,287100,53100,10800,2770200,6651000,57600,875700,1912500,11449800,0,5400,0,117838157,111180,86,288900,900,1034100
C2c3,C2c,café,3,C,12,17,2.425,81.2,22.6,0.5174532792350417,134100,0,0,0,34200,159300,9000,900,207000,2833200,0,207000,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,1656900,126000,4500,20700,1061100,2581200,19800,615600,1017900,6127200,0,0,0,122480208,49560,34,225000,900,496800,0.686169511352892,3591000,287100,53100,10800,2770200,6651000,57600,875700,1912500,11449800,0,5400,0,117838157,111180,86,288900,900,1034100
C2c4,C2c,café,4,C,18,25,2.71,81.2,22.6,0.5174532792350417,134100,0,0,0,34200,159300,9000,900,207000,2833200,0,207000,0.039701572,6180,4,63900,6300,23400,0.6594347183770488,1656900,126000,4500,20700,1061100,2581200,19800,615600,1017900,6127200,0,0,0,122480208,49560,34,225000,900,496800,0.686169511352892,3591000,287100,53100,10800,2770200,6651000,57600,875700,1912500,11449800,0,5400,0,117838157,111180,86,288900,900,1034100
C3a1,C3a,café,1,A,7,8,1.906,78,23.6,0.7109345260650571,536400,13500,12600,0,67500,628200,33300,0,160200,1915200,0,0,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,29700,114300,50400,1368900,3447000,50400,0,546300,6065100,900,13500,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,91800,72000,575100,3652200,8028900,91800,0,1138500,13239900,6300,13500,0.117056461,127260,74,361800,900,760500
C3a2,C3a,café,2,A,6,6,1.792,78,23.6,0.7109345260650571,536400,13500,12600,0,67500,628200,33300,0,160200,1915200,0,0,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,29700,114300,50400,1368900,3447000,50400,0,546300,6065100,900,13500,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,91800,72000,575100,3652200,8028900,91800,0,1138500,13239900,6300,13500,0.117056461,127260,74,361800,900,760500
C3a3,C3a,café,3,A,13,20,2.415,78,23.6,0.7109345260650571,536400,13500,12600,0,67500,628200,33300,0,160200,1915200,0,0,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,29700,114300,50400,1368900,3447000,50400,0,546300,6065100,900,13500,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,91800,72000,575100,3652200,8028900,91800,0,1138500,13239900,6300,13500,0.117056461,127260,74,361800,900,760500
C3a4,C3a,café,4,A,16,17,2.752,78,23.6,0.7109345260650571,536400,13500,12600,0,67500,628200,33300,0,160200,1915200,0,0,0.159315691,18240,14,252900,900,146700,0.74096887,1844100,29700,114300,50400,1368900,3447000,50400,0,546300,6065100,900,13500,0.136291074,63600,39,361800,1800,450900,0.7484610525597835,3567600,91800,72000,575100,3652200,8028900,91800,0,1138500,13239900,6300,13500,0.117056461,127260,74,361800,900,760500
C3b1,C3b,café,1,B,11,16,2.307,82.9,22.3,0.6525185237665739,234900,0,0,17100,182700,347400,0,0,66600,2523600,0,0,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,6300,17100,72900,1066500,2638800,44100,14400,499500,7371000,0,0,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,36000,117000,70200,3414600,7124400,112500,65700,753300,15067800,1800,0,0.117092907,120420,94,531900,900,1071000
C3b2,C3b,café,2,B,5,9,1.303,82.9,22.3,0.6525185237665739,234900,0,0,17100,182700,347400,0,0,66600,2523600,0,0,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,6300,17100,72900,1066500,2638800,44100,14400,499500,7371000,0,0,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,36000,117000,70200,3414600,7124400,112500,65700,753300,15067800,1800,0,0.117092907,120420,94,531900,900,1071000
C3b3,C3b,café,3,B,3,3,1.099,82.9,22.3,0.6525185237665739,234900,0,0,17100,182700,347400,0,0,66600,2523600,0,0,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,6300,17100,72900,1066500,2638800,44100,14400,499500,7371000,0,0,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,36000,117000,70200,3414600,7124400,112500,65700,753300,15067800,1800,0,0.117092907,120420,94,531900,900,1071000
C3b4,C3b,café,4,B,7,7,1.946,82.9,22.3,0.6525185237665739,234900,0,0,17100,182700,347400,0,0,66600,2523600,0,0,0.069655725,8880,8,81000,3600,63900,0.6540436733855872,1790100,6300,17100,72900,1066500,2638800,44100,14400,499500,7371000,0,0,0.132238548,54240,38,531000,900,668700,0.6524997577301209,3568500,36000,117000,70200,3414600,7124400,112500,65700,753300,15067800,1800,0,0.117092907,120420,94,531900,900,1071000
C3c1,C3c,café,1,C,1,1,0,77.4,24,0.5671634614351893,107100,3600,0,0,131400,360900,0,0,45000,2717100,0,0,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,30600,0,0,1733400,2527200,15300,0,87300,8226900,0,900,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,118800,165600,0,3797100,5911200,45000,0,326700,17180100,0,36000,0.088271787,87120,77,577800,900,765900
C3c2,C3c,café,2,C,4,4,1.386,77.4,24,0.5671634614351893,107100,3600,0,0,131400,360900,0,0,45000,2717100,0,0,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,30600,0,0,1733400,2527200,15300,0,87300,8226900,0,900,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,118800,165600,0,3797100,5911200,45000,0,326700,17180100,0,36000,0.088271787,87120,77,577800,900,765900
C3c3,C3c,café,3,C,3,4,1.04,77.4,24,0.5671634614351893,107100,3600,0,0,131400,360900,0,0,45000,2717100,0,0,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,30600,0,0,1733400,2527200,15300,0,87300,8226900,0,900,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,118800,165600,0,3797100,5911200,45000,0,326700,17180100,0,36000,0.088271787,87120,77,577800,900,765900
C3c4,C3c,café,4,C,7,9,1.889,77.4,24,0.5671634614351893,107100,3600,0,0,131400,360900,0,0,45000,2717100,0,0,0.031826692,4680,10,39600,900,13500,0.5936443697436647,807300,30600,0,0,1733400,2527200,15300,0,87300,8226900,0,900,0.059692553,27360,28,211500,900,199800,0.5912446258402799,2689200,118800,165600,0,3797100,5911200,45000,0,326700,17180100,0,36000,0.088271787,87120,77,577800,900,765900
S1a1,S1a,silvicultura,1,A,18,23,2.811,86.5,22.2,0.7730028215889662,1469700,0,0,1236600,360000,110700,0,0,0,187200,0,9000,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0,0,2068200,1565100,981900,0,12600,422100,3936600,27900,0,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,,,,,,,,,,,,0.243114798,148500,52,2211300,1800,3816000
S1a2,S1a,silvicultura,2,A,16,26,2.631,86.5,22.2,0.7730028215889662,1469700,0,0,1236600,360000,110700,0,0,0,187200,0,9000,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0,0,2068200,1565100,981900,0,12600,422100,3936600,27900,0,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,,,,,,,,,,,,0.243114798,148500,52,2211300,1800,3816000
S1a3,S1a,silvicultura,3,A,7,9,1.831,86.5,22.2,0.7730028215889662,1469700,0,0,1236600,360000,110700,0,0,0,187200,0,9000,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0,0,2068200,1565100,981900,0,12600,422100,3936600,27900,0,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,,,,,,,,,,,,0.243114798,148500,52,2211300,1800,3816000
S1a4,S1a,silvicultura,4,A,9,13,2.098,86.5,22.2,0.7730028215889662,1469700,0,0,1236600,360000,110700,0,0,0,187200,0,9000,0.435699039,20400,4,762300,9900,907200,0.802515108,4526100,0,0,2068200,1565100,981900,0,12600,422100,3936600,27900,0,0.334263875,68400,16,1985400,900,2735100,0.7417225885814537,7412400,,,,,,,,,,,,0.243114798,148500,52,2211300,1800,3816000
S1b1,S1b,silvicultura,1,B,17,47,2.44,90,22.4,0.7940250670434098,908100,0,440100,1350000,247500,295200,45900,0,5400,0,0,0,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0,2997000,2627100,2120400,1379700,117000,0,166500,0,0,0,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,,,,,,,,,,,,0.213819963,183660,72,1040400,900,2160000
S1b2,S1b,silvicultura,2,B,17,38,2.366,90,22.4,0.7940250670434098,908100,0,440100,1350000,247500,295200,45900,0,5400,0,0,0,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0,2997000,2627100,2120400,1379700,117000,0,166500,0,0,0,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,,,,,,,,,,,,0.213819963,183660,72,1040400,900,2160000
S1b3,S1b,silvicultura,3,B,9,25,1.847,90,22.4,0.7940250670434098,908100,0,440100,1350000,247500,295200,45900,0,5400,0,0,0,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0,2997000,2627100,2120400,1379700,117000,0,166500,0,0,0,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,,,,,,,,,,,,0.213819963,183660,72,1040400,900,2160000
S1b4,S1b,silvicultura,4,B,20,55,2.48,90,22.4,0.7940250670434098,908100,0,440100,1350000,247500,295200,45900,0,5400,0,0,0,0.268422453,27240,12,319500,900,294300,0.8640112652837594,3613500,0,2997000,2627100,2120400,1379700,117000,0,166500,0,0,0,0.266671095,96960,34,1013400,900,1288800,0.8118385582080789,6522300,,,,,,,,,,,,0.213819963,183660,72,1040400,900,2160000
S1c1,S1c,silvicultura,1,C,13,28,2.313,84.9,24.7,0.8268812492627846,656100,0,240300,1521900,407700,429300,23400,0,103500,0,0,0,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0,1049400,3184200,3816900,2112300,124200,0,1286100,0,0,0,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,,,,,,,,,,,,0.1486722,135120,68,621900,900,1383300
S1c2,S1c,silvicultura,2,C,6,9,1.677,84.9,24.7,0.8268812492627846,656100,0,240300,1521900,407700,429300,23400,0,103500,0,0,0,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0,1049400,3184200,3816900,2112300,124200,0,1286100,0,0,0,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,,,,,,,,,,,,0.1486722,135120,68,621900,900,1383300
S1c3,S1c,silvicultura,3,C,2,5,0.5004,84.9,24.7,0.8268812492627846,656100,0,240300,1521900,407700,429300,23400,0,103500,0,0,0,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0,1049400,3184200,3816900,2112300,124200,0,1286100,0,0,0,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,,,,,,,,,,,,0.1486722,135120,68,621900,900,1383300
S1c4,S1c,silvicultura,4,C,9,14,2.045,84.9,24.7,0.8268812492627846,656100,0,240300,1521900,407700,429300,23400,0,103500,0,0,0,0.193986163,15840,6,553500,900,244800,0.8596454084318491,1953000,0,1049400,3184200,3816900,2112300,124200,0,1286100,0,0,0,0.144272322,61020,36,621900,900,536400,0.869492254,4529700,,,,,,,,,,,,0.1486722,135120,68,621900,900,1383300
S2a1,S2a,silvicultura,1,A,2,2,0.6931,87,20.7,0.8615399192037505,897300,0,6300,1301400,413100,268200,0,0,487800,0,0,0,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0,198900,4808700,2262600,934200,4500,0,2211300,0,0,0,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,,,,,,,,,,,,0.251503006,145500,60,1681200,900,3905100
S2a2,S2a,silvicultura,2,A,8,11,1.972,87,20.7,0.8615399192037505,897300,0,6300,1301400,413100,268200,0,0,487800,0,0,0,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0,198900,4808700,2262600,934200,4500,0,2211300,0,0,0,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,,,,,,,,,,,,0.251503006,145500,60,1681200,900,3905100
S2a3,S2a,silvicultura,3,A,7,9,1.889,87,20.7,0.8615399192037505,897300,0,6300,1301400,413100,268200,0,0,487800,0,0,0,0.265937583,17820,6,432000,6300,420300,0.8012999630720529,3065400,0,198900,4808700,2262600,934200,4500,0,2211300,0,0,0,0.226056946,65160,28,735300,2700,1377000,0.770751735,7680600,,,,,,,,,,,,0.251503006,145500,60,1681200,900,3905100
S2b1,S2b,silvicultura,1,B,7,14,1.567,85.6,22.4,0.7013068652604306,633600,0,0,2464200,28800,275400,0,0,0,0,0,0,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0,0,5994000,270000,1174500,7200,0,8100,5400,0,0,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,,,,,,,,,,,,0.570381922,222480,54,15792300,900,11767500
S2b2,S2b,silvicultura,2,B,7,15,1.58,85.6,22.4,0.7013068652604306,633600,0,0,2464200,28800,275400,0,0,0,0,0,0,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0,0,5994000,270000,1174500,7200,0,8100,5400,0,0,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,,,,,,,,,,,,0.570381922,222480,54,15792300,900,11767500
S2b3,S2b,silvicultura,3,B,22,56,2.835,85.6,22.4,0.7013068652604306,633600,0,0,2464200,28800,275400,0,0,0,0,0,0,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0,0,5994000,270000,1174500,7200,0,8100,5400,0,0,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,,,,,,,,,,,,0.570381922,222480,54,15792300,900,11767500
S2b4,S2b,silvicultura,4,B,16,22,2.626,85.6,22.4,0.7013068652604306,633600,0,0,2464200,28800,275400,0,0,0,0,0,0,0.186243386,25020,29,203400,900,154800,0.6336885765522026,6182100,0,0,5994000,270000,1174500,7200,0,8100,5400,0,0,0.453189945,106320,43,2077200,900,3575700,0.5907313620320316,17446500,,,,,,,,,,,,0.570381922,222480,54,15792300,900,11767500
S2c1,S2c,silvicultura,1,C,11,23,2.22,89.4,21.3,0.6485575986956178,660600,0,10800,2438100,106200,162900,0,0,0,0,0,0,0.195524774,18720,7,372600,1800,225900,0.8473557675000062,2755800,0,1709100,6555600,1349100,726300,0,0,448200,,,,0.203468669,60900,25,929700,900,1279800,0.8313054723749121,4886100,,,,,,,,,,,,0.160171117,131340,60,1131300,900,1826100
S2c2,S2c,silvicultura,2,C,8,10,2.025,89.4,21.3,0.6485575986956178,660600,0,10800,2438100,106200,162900,0,0,0,0,0,0,0.195524774,18720,7,372600,1800,225900,0.8473557675000062,2755800,0,1709100,6555600,1349100,726300,0,0,448200,,,,0.203468669,60900,25,929700,900,1279800,0.8313054723749121,4886100,,,,,,,,,,,,0.160171117,131340,60,1131300,900,1826100
